timestamp,agent.name,rule.description,rule.level,rule.id
"Jan 8, 2026 @ 09:27:31.654",jamod-win10,Logon Failure - Unknown user or bad password,5,60122
"Jan 8, 2026 @ 09:27:31.654",jamod-win10,Logon Failure - Unknown user or bad password,5,60122
"Jan 8, 2026 @ 09:07:12.297",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 09:07:12.297",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:56:19.592",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:56:19.592",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:55:33.835",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:55:33.835",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:52:54.277",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:52:54.277",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:52:33.184",jamod-win10,Service startup type was changed,3,61104
"Jan 8, 2026 @ 08:52:33.184",jamod-win10,Service startup type was changed,3,61104
"Jan 8, 2026 @ 08:46:49.732",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:46:49.732",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:34:45.924",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:34:45.924",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:30:41.758",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:30:41.758",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:27:54.572",jamod-win10,Service startup type was changed,3,61104
"Jan 8, 2026 @ 08:27:54.572",jamod-win10,Service startup type was changed,3,61104
"Jan 8, 2026 @ 08:26:36.627",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:26:36.627",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 08:25:51.537",jamod-win10,Service startup type was changed,3,61104
"Jan 8, 2026 @ 08:25:51.537",jamod-win10,Service startup type was changed,3,61104
"Jan 8, 2026 @ 07:48:14.088",jamod-win10,Wazuh agent disconnected.,3,504
"Jan 8, 2026 @ 07:48:14.088",jamod-win10,Wazuh agent disconnected.,3,504
"Jan 8, 2026 @ 07:25:11.443",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:25:11.443",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:22:46.066",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:22:46.066",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:19:51.131",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:19:51.131",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:12:00.791",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:12:00.791",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:05:51.686",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:05:51.686",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:02:32.661",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:02:32.661",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 07:01:07.254",jamod-win10,Summary event of the report's signatures.,4,60608
"Jan 8, 2026 @ 07:01:07.254",jamod-win10,Summary event of the report's signatures.,4,60608
"Jan 8, 2026 @ 06:59:01.963",jamod-win10,Windows Search Service indexed data for user successfully removed in response to user profile deletion.,3,60673
"Jan 8, 2026 @ 06:59:01.963",jamod-win10,Windows Search Service indexed data for user successfully removed in response to user profile deletion.,3,60673
"Jan 8, 2026 @ 06:59:01.946",jamod-win10,Windows Search Service indexed data for user successfully removed in response to user profile deletion.,3,60673
"Jan 8, 2026 @ 06:59:01.946",jamod-win10,Windows Search Service indexed data for user successfully removed in response to user profile deletion.,3,60673
"Jan 8, 2026 @ 06:59:00.837",jamod-win10,User account disabled or deleted,8,60111
"Jan 8, 2026 @ 06:59:00.837",jamod-win10,User account disabled or deleted,8,60111
"Jan 8, 2026 @ 06:59:00.805",jamod-win10,Users Group Changed,5,60170
"Jan 8, 2026 @ 06:59:00.805",jamod-win10,Domain Users Group Changed,5,60160
"Jan 8, 2026 @ 06:59:00.805",jamod-win10,Domain Users Group Changed,5,60160
"Jan 8, 2026 @ 06:59:00.805",jamod-win10,Users Group Changed,5,60170
"Jan 8, 2026 @ 06:58:32.967",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 06:58:32.967",jamod-win10,Software protection service scheduled successfully.,3,60642
"Jan 8, 2026 @ 06:58:17.083",jamod-win10,Wazuh agent started.,3,503
"Jan 8, 2026 @ 06:58:17.083",jamod-win10,Wazuh agent started.,3,503
"Jan 8, 2026 @ 06:58:16.365",jamod-win10,Wazuh agent stopped.,3,506
"Jan 8, 2026 @ 06:58:16.365",jamod-win10,Wazuh agent stopped.,3,506
"Jan 8, 2026 @ 06:58:14.087",jamod-win10,New wazuh agent connected.,3,501
"Jan 8, 2026 @ 06:58:14.087",jamod-win10,New wazuh agent connected.,3,501
