timestamp,agent.name,rule.description,rule.level,rule.id
"Jan 9, 2026 @ 15:24:43.124",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:24:43.114",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:24:43.106",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:24:41.412",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:23:59.250",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:23:59.250",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:23:59.250",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:23:55.813",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:23:49.149",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:19:23.926",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:19:23.916",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:19:23.916",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:19:23.916",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:19:22.583",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:18:17.798",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:55.258",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:55.175",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:55.159",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:55.140",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:55.123",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:55.110",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:55.098",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:43.264",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:32.870",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:32.869",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:17:32.869",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:15:34.668",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:15:34.612",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:12:56.474",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:12:56.419",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:12:16.375",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:12:16.375",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:11:29.003",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:07:38.542",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:07:38.483",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:07:14.964",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:07:14.963",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:07:14.963",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:06:42.182",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:06:16.944",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:04:45.092",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:04:45.091",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:04:45.091",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:04:45.091",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:04:13.664",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:03:45.519",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:57.921",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:57.913",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:49.393",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:49.281",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:49.230",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:46.726",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:36.123",aditys-agent,Software protection service scheduled successfully.,3,60642
"Jan 9, 2026 @ 15:02:03.796",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:02.572",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:01.100",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:01.100",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:02:01.091",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:01:43.004",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:01:42.945",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:01:40.179",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:01:40.165",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:01:40.165",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 15:01:40.165",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:59:00.420",aditys-agent,Software protection service scheduled successfully.,3,60642
"Jan 9, 2026 @ 14:58:48.996",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:48.987",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:48.987",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:48.980",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:47.330",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:32.354",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:28.910",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:26.816",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:26.810",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:26.809",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:07.699",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:58:07.637",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:56:30.960",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:56:30.960",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:54:46.122",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:54:12.176",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:53:35.019",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:53:35.015",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:53:35.013",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:53:25.806",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:51:50.244",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:51:50.181",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:51:17.877",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:50:24.317",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:50:24.317",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:49:11.195",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:49:11.135",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:47:59.070",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:47:58.985",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:47:58.904",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:47:38.469",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:47:09.405",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:46:53.481",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:46:53.462",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:46:53.445",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:46:53.431",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:46:52.548",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:46:52.468",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:46:49.224",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:43.782",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:20.707",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:15.273",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:11.329",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:11.313",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:08.904",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:07.964",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:07.964",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:07.964",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:04.180",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:04.180",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:45:04.180",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:43:44.749",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:42:22.214",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:42:18.008",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:42:17.999",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:41:47.790",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:41:04.798",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:41:04.798",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:41:04.798",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:40:53.293",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:40:53.287",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:40:51.033",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:40:51.025",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:40:39.818",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:39:29.323",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:39:29.265",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:53.204",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:30.949",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:30.949",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:30.949",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:13.882",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:13.833",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:12.178",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:12.177",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:12.162",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:12.159",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:12.127",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:33:12.118",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:30:21.287",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:29:56.574",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:29:34.713",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:29:34.713",aditys-agent,Windows Audit Policy changed,8,60112
"Jan 9, 2026 @ 14:29:14.965",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:29:01.331",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:28:46.855",aditys-agent,Windows Audit Policy changed,8,60112
"Jan 9, 2026 @ 14:28:46.794",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:28:46.763",aditys-agent,Windows Audit Policy changed,8,60112
"Jan 9, 2026 @ 14:28:46.731",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:28:46.725",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:48.163",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:48.107",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:48.088",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:48.081",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:48.081",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:48.081",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:16.277",aditys-agent,Software protection service scheduled successfully.,3,60642
"Jan 9, 2026 @ 14:26:15.800",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.786",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.706",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.690",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.681",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.660",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.584",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.534",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.518",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.502",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.455",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.440",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.424",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.410",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.392",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.383",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.376",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.368",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:15.340",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.565",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.531",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.517",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.296",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.250",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.242",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.220",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.211",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.204",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.204",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:26:13.163",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:24:31.477",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:24:27.884",aditys-agent,CVE-2025-64660 affects Microsoft Visual Studio Code (User),10,23505
"Jan 9, 2026 @ 14:24:27.865",aditys-agent,CVE-2025-62453 affects Microsoft Visual Studio Code (User),7,23504
"Jan 9, 2026 @ 14:22:37.058",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:22:37.049",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:22:37.042",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:22:36.132",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:22:36.060",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:22:36.060",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:22:36.057",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:22:36.055",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:22:36.055",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:21:19.421",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:21:19.352",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:18:24.451",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:18:07.247",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:17:28.263",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:16:46.963",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:16:32.532",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:16:32.472",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:14:09.338",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:13:21.156",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:13:21.097",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:12:12.100",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:12:12.100",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:12:12.100",aditys-agent,Windows Audit Policy changed,8,60112
"Jan 9, 2026 @ 14:12:12.099",aditys-agent,Windows Audit Policy changed,8,60112
"Jan 9, 2026 @ 14:12:12.099",aditys-agent,Windows Audit Policy changed,8,60112
"Jan 9, 2026 @ 14:12:12.099",aditys-agent,A process was created.,3,67027
"Jan 9, 2026 @ 14:11:33.224",aditys-agent,Software protection service scheduled successfully.,3,60642
"Jan 9, 2026 @ 12:52:39.781",aditys-agent,The VSS service is shutting down due to idle timeout.,5,60702
"Jan 9, 2026 @ 12:49:16.226",aditys-agent,Service startup type was changed,3,61104
"Jan 9, 2026 @ 12:47:01.550",aditys-agent,Service startup type was changed,3,61104
"Jan 9, 2026 @ 12:46:24.382",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:24.379",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:24.251",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:24.220",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:21.903",aditys-agent,Multiple Windows Logon Failures,10,60204
"Jan 9, 2026 @ 12:46:21.887",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:21.887",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:21.880",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:19.719",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:19.585",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:19.585",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:19.573",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:17.394",aditys-agent,Multiple Windows Logon Failures,10,60204
"Jan 9, 2026 @ 12:46:17.386",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:17.386",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:17.386",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:15.069",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:15.068",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:15.035",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:15.025",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:12.792",aditys-agent,Multiple Windows Logon Failures,10,60204
"Jan 9, 2026 @ 12:46:12.780",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:12.772",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:12.762",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:10.539",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:10.523",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:10.523",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:10.509",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:08.338",aditys-agent,Multiple Windows Logon Failures,10,60204
"Jan 9, 2026 @ 12:46:08.308",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:08.272",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:08.261",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:06.039",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:06.025",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:06.018",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:06.010",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:03.809",aditys-agent,Multiple Windows Logon Failures,10,60204
"Jan 9, 2026 @ 12:46:03.775",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:03.775",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:03.763",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:01.527",aditys-agent,Logon Failure - Unknown user or bad password,5,60122
