timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.134",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.133",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:41.133",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.083",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.083",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.083",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.083",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.082",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.082",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.082",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.082",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.074",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.074",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.074",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.074",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.074",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.074",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.074",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.074",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.065",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:39.065",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.116",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.116",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.116",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.116",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.108",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.108",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.106",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.106",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.106",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.106",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.105",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:37.105",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:35.089",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:35.089",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:35.089",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:35.089",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:35.080",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
"Jan 8, 2026 @ 09:45:35.080",ubuntu-devangs,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: Attempt to login using a non-existent user,5,5710
