timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Jan 9, 2026 @ 11:54:36.808",aditys-agent,"[""T1550.002"",""T1078.002""]","[""Defense Evasion"",""Lateral Movement"",""Persistence"",""Privilege Escalation"",""Initial Access""]","Successful Remote Logon Detected - User:\ANONYMOUS LOGON - NTLM authentication, possible pass-the-hash attack.",6,92652
"Jan 9, 2026 @ 11:54:36.797",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 11:54:13.676",aditys-agent,"[""T1550.002"",""T1078.002""]","[""Defense Evasion"",""Lateral Movement"",""Persistence"",""Privilege Escalation"",""Initial Access""]","Successful Remote Logon Detected - User:\ANONYMOUS LOGON - NTLM authentication, possible pass-the-hash attack.",6,92652
"Jan 9, 2026 @ 11:54:13.647",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 11:51:57.634",aditys-agent,"[""T1550.002"",""T1078.002"",""T1021.001""]","[""Defense Evasion"",""Lateral Movement"",""Persistence"",""Privilege Escalation"",""Initial Access""]","Successful Remote Logon Detected - User:\ANONYMOUS LOGON - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that WINDOWS is allowed to perform RDP connections",6,92657
"Jan 9, 2026 @ 11:47:30.518",aditys-agent,"[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]",Special privileges assigned to new logon.,3,67028
"Jan 9, 2026 @ 11:47:30.507",aditys-agent,"[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]",Special privileges assigned to new logon.,3,67028
"Jan 9, 2026 @ 11:47:30.448",aditys-agent,"[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]",Special privileges assigned to new logon.,3,67028
"Jan 9, 2026 @ 11:47:30.434",aditys-agent,"[""T1098""]","[""Persistence""]",User account changed,8,60110
"Jan 9, 2026 @ 11:47:30.283",aditys-agent,"[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]",Special privileges assigned to new logon.,3,67028
"Jan 9, 2026 @ 11:47:30.236",aditys-agent,"[""T1098""]","[""Persistence""]",User account changed,8,60110
"Jan 9, 2026 @ 11:47:24.162",aditys-agent,"[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]",Special privileges assigned to new logon.,3,67028
"Jan 9, 2026 @ 11:47:24.161",aditys-agent,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",Windows Workstation Logon Success,3,60118
"Jan 9, 2026 @ 11:47:24.154",aditys-agent,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",Windows Workstation Logon Success,3,60118
"Jan 9, 2026 @ 11:41:20.797",aditys-agent,"[""T1562.001""]","[""Defense Evasion""]",Wazuh agent disconnected.,3,504
"Jan 9, 2026 @ 11:14:05.665",aditys-agent,"[""T1529""]","[""Impact""]",System shutdown initiated.,3,67018
"Jan 9, 2026 @ 11:11:56.779",aditys-agent,"[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]",Special privileges assigned to new logon.,3,67028
"Jan 9, 2026 @ 11:11:56.766",aditys-agent,"[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]",Special privileges assigned to new logon.,3,67028
"Jan 9, 2026 @ 11:11:56.670",aditys-agent,"[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]",Special privileges assigned to new logon.,3,67028
"Jan 9, 2026 @ 11:11:56.655",aditys-agent,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",Windows Workstation Logon Success,3,60118
